기관ID,주소,병원분류명,응급실운영여부(T/F),비고,기관설명상세,간이약도,기관명,대표전화1,응급실전화,평일진료시간,토요일진료시간,일요일진료시간,공휴일진료시간,병원경도,병원위도,진료과
A1123200,"서울특별시 강서구 수명로 82, 발산로얄타워 4층 401호 (내발산동)",의원,F,점심시간 13:00~14:00,신장혈액투석 및 만성질환진료,신정역 2번 출구,큰빛안과의원,02-2665-7646,02-3468-3060,09:30~18:30,09:30~14:00,09:00~16:00,09:00~16:00,126.8264457,37.55347168,가정의학과
A1103627,"서울특별시 광진구 면목로 203, 2층 (중곡동)",의원,F,점심시간 12:50~13:30,"큰사랑의원과 같은주소,전화번호 사용",용마산역 3번출구 도보10분 (2층),큰사랑의원,02-491-8549,02-3468-3060,09:00~18:30,09:00~13:00,09:00~16:00,10:00~15:00,127.0831683,37.5712027,내과
A1104843,서울특별시 금천구 범안로 1183 (독산동),의원,F,"공휴일 방문 시, 전화확인 필요","큰사랑산부인과의원과 같은주소,전화번호 사용",용마산역 3번출구 도보10분 (2층),큰사랑의원,02-893-2322,02-3468-3060,08:30~19:00,08:30~13:00,09:00~16:00,10:00~15:00,126.8931041,37.46670366,내과
A1104445,"서울특별시 광진구 용마산로 23, 1.2.3층 (중곡동)",의원,F,점심시간 13:00~14:00,"큰사랑산부인과의원과 같은주소,전화번호 사용",아차산역 1번출구,큰열매여성의원,02-454-3576,02-3468-3060,09:30~18:30,09:30~14:00,09:00~16:00,10:00~15:00,127.0879315,37.55574537,가정의학과
A1123473,"서울특별시 강남구 도산대로75길 11, 2층 (청담동)",의원,F,점심시간 13:00~14:00,"큰사랑산부인과의원과 같은주소,전화번호 사용",청담사거리,클라시코의원,02-515-7511,02-3468-3060,10:00~19:00,10:00~15:30,09:00~16:00,10:00~15:00,127.0457858,37.5249681,피부과
A1121206,"서울특별시 강남구 강남대로 470, 808타워 7층 (역삼동)",의원,F,점심시간 13:00~14:00,"큰사랑산부인과의원과 같은주소,전화번호 사용",신사역 1번 출구,클래시성형외과의원,02-545-2115,02-3468-3060,10:00~19:00,10:00~17:00,09:00~16:00,10:00~15:00,127.0250531,37.50434629,피부과
A1107265,"서울특별시 송파구 백제고분로7길 14, 태원빌딩 (잠실동)",의원,F,점심시간 13:00~14:00,"큰사랑산부인과의원과 같은주소,전화번호 사용",종합운동장 인근 플랙스호텔 옆,클럽미즈라미체의원,02-422-9888,02-3468-3060,12:30~21:30,09:00~15:00,09:00~16:00,10:00~15:00,127.0804765,37.51027537,가정의학과
A1103458,"서울특별시 성북구 도봉로 29, 지상3층 (길음동)",의원,F,점심시간 13:00~14:00,"큰사랑산부인과의원과 같은주소,전화번호 사용",미아사거리역 4번출구,클레오의원,02-988-2975,02-3468-3060,10:00~18:00,09:30~12:00,09:00~16:00,10:00~15:00,127.0299184,37.61180168,내과
A1103441,서울특별시 서초구 강남대로 483 청호빌딩 5층 (반포동),의원,F,점심시간 13:00~14:00,미용성형 위주,신논현역 2번출구 청호빌딩 301호,클레이성형외과의원,02-516-1368,02-3468-3060,10:30~19:00,10:30~15:00,09:00~16:00,10:00~15:00,127.0236489,37.50532543,피부과
A1122322,"서울특별시 강남구 선릉로 431, 에스케이허브오피스텔 305호 (역삼동)",의원,F,점심시간 13:00~14:00,미용성형 위주,신논현역 2번출구 청호빌딩 301호,클렌시아의원,02-522-1750,02-3468-3060,11:30~20:00,10:30~15:00,09:00~16:00,10:00~15:00,127.0491069,37.50343566,가정의학과
A1100399,"서울특별시 송파구 양재대로 1222 (방이동, 올림픽프라자상가 326,327호)",의원,F,점심시간 13:00~14:00,미용성형 위주,신논현역 2번출구 청호빌딩 301호,클렌피부과의원,02-408-7676,02-3468-3060,09:30~19:00,10:00~16:00,09:00~16:00,10:00~15:00,127.1310621,37.5157262,피부과
A1104737,서울특별시 도봉구 도봉로 484 (창동),의원,F,점심시간 13:00~14:00,미용성형 위주,신논현역 2번출구 청호빌딩 301호,클로바의원,02-904-8500,02-3468-3060,09:30~18:30,09:30~16:00,09:00~16:00,10:00~15:00,127.035055,37.64862538,내과
A1123263,"서울특별시 서초구 서초대로73길 42, 강남역리가스퀘어 306~311호 (서초동)",의원,F,점심시간 13:00~14:00,미용성형 위주,신논현역 7번출구,클로엔성형외과의원,02-595-8568,02-3468-3060,10:00~19:00,10:00~17:00,09:00~16:00,10:00~15:00,127.0244411,37.50122578,가정의학과
A1101971,"서울특별시 강남구 선릉로 842, 3~6층 (청담동)",의원,F,점심시간 13:00~14:00,미용성형 위주,"압구정역 2,3번 출구",클리니크후즈후의원,1588-7536,02-3468-3060,10:00~20:00,10:00~17:00,09:00~16:00,10:00~15:00,127.0288841,37.52608483,피부과
A1106330,"서울특별시 강남구 강남대로 516, 제아메디컬빌딩 5층 (논현동)",의원,F,점심시간 13:00~14:00,미용성형 위주,도곡동성당건물,클리어의원,02-2058-0701,02-3468-3060,10:00~18:30,09:30~15:30,09:00~16:00,10:00~15:00,127.0231362,37.50826785,가정의학과
A1100290,"서울특별시 마포구 월드컵북로 347, 6층 (상암동, 상암메디칼빌딩)",의원,F,점심시간 13:00~14:00,미용성형 위주,서울상암초등학교 앞,클린앤미피부과의원,02-307-3375,02-3468-3060,10:00~19:30,10:00~14:30,09:00~16:00,10:00~15:00,126.893216,37.5763446,피부과
A1118487,"서울특별시 은평구 연서로 73, 3층 (역촌동)",의원,F,점심시간 13:00~14:00,정성을 다하는 코지이비인후과입니다. 가족처럼 진료하겠습니다.,역말사거리 부근,퀀텀정형외과의원,02-389-8277,02-3468-3060,09:00~19:00,09:00~14:00,09:00~18:00,09:00~18:00,126.9150675,37.60564458,내과
A1104103,"서울특별시 영등포구 영중로 35, 3층 (영등포동4가, 삼경빌딩)",의원,F,점심시간13:00~14:00,일반진료/피부미용/화상/,영등포시장역과 영등포역 7분거리 영등포시장사거리,클린업피부과의원,02-2634-7588,02-3468-3060,10:00~20:00,10:00~16:00,09:00~16:00,10:00~15:00,126.9048647,37.51927457,피부과
A1123585,"서울특별시 노원구 노해로 451, 청산빌딩 4층 (상계동)",의원,F,점심시간 13:00~14:00,일반진료/피부미용/화상/,노원역 7번출구,클린업피부과의원,02-556-9070,02-3468-3060,10:00~20:00,10:00~16:00,09:00~16:00,10:00~15:00,127.0582262,37.65410519,피부과
A1116920,"서울특별시 서초구 강남대로 429, 10층 (서초동, 유창빌딩)",의원,F,점심시간 13:00~14:00,일반진료/피부미용/화상/,카카오프렌즈 건물 10층,클린업피부과의원,02-561-0007,02-3468-3060,10:00~20:00,10:00~16:00,09:00~16:00,10:00~15:00,127.0256912,37.50087003,피부과
A1106952,"서울특별시 서초구 사평대로 371, 5층 (반포동, 현철빌딩)",의원,F,점심시간 13:00~14:00,예약제진료로 확인전화필,교보문고 건너편 5층,클린외과의원,02-515-0310,02-3468-3060,08:30~17:30,08:30~15:00,09:00~16:00,10:00~15:00,127.0235919,37.50457004,내과
A1117737,"서울특별시 강남구 압구정로 162, 5층 (신사동, 베네하임시티 5층일부)",의원,F,점심시간 13:00~14:00,예약제진료로 확인전화필,압구정역 5번 출구,클린유의원,02-542-0090,02-3468-3060,10:00~19:00,10:00~16:00,09:00~16:00,10:00~15:00,127.0274678,37.52630862,피부과
A1105913,"서울특별시 동작구 양녕로 264, 5층 (상도1동)",의원,F,점심시간 13:00~14:00,예약제진료로 확인전화필,압구정역 5번 출구,클린이비인후과의원,02-822-1000,02-3468-3060,09:10~18:30,09:10~13:00,09:00~16:00,10:00~15:00,126.9485666,37.50334379,가정의학과
A1120743,"서울특별시 서초구 강남대로 405, 통영빌딩 15층 1501호 (서초동)",의원,F,점심시간 13:00~14:00,예약제진료로 확인전화필,압구정로데오역 3번출구 5분거리(SK주유스 인근),키다리성형외과의원,02-541-6500,02-3468-3060,10:30~19:30,09:30~16:00,09:00~16:00,10:00~15:00,127.0266932,37.49877411,피부과
A1102817,"서울특별시 서초구 반포대로 287, 309,310,311호 (반포동, 래미안퍼스티지중심상가)",의원,F,점심시간 13:00~14:00,"2001년 개원. 한방소아과, 한방부인과, 한방내과. 소아성장, 성조숙증, 소아비만, 틱장애, ADHD, 알러지, 아토피 등을 전문으로 치료하고 있는 소아전문 한의원입니다. 일요일, 공휴일 진료가능하며, 예약제로 운영되고 있습니다. 전화나 인터넷으로 미리 예약하시고 방문하시면 됩니다.",고속터미널역 6번출구/,키움성장의원,02-532-8575,02-3468-3060,10:00~18:00,09:00~13:00,11:00~15:00,10:00~17:00,127.0010964,37.50437559,내과
A1116706,서울특별시 용산구 한강대로 92 (한강로2가),의원,F,"2, 4째주 토요일 휴진 / 점심시간 13:00~14:00",www.cosarang.modoo.at  어지러움 클리닉 귀.코.목.소아 클리닉 수액. 예방접종 클리닉 피부.비만.보톡스.필러 클리닉  7호선 신대방삼거리역 2번출구,강남구청역 2번출구 바로앞,코어이비인후과의원,02-796-8884,02-3468-3060,09:00~18:30,09:30~13:00,10:00~13:00,11:00~16:00,126.967795,37.52799129,내과
A1119267,"서울특별시 광진구 능동로 18, 202호 (자양동, 이튼타워리버3차)",의원,F,점심시간 13:00~14:00,"토요일 (2,4주)10:00-14:30 (1,3주)10:00-1600/",뚝섬유원지역 1번 출구,키즈엘소아청소년과의원,02-468-2020,02-3468-3060,09:00~19:00,09:00~14:00,11:00~15:00,10:00~17:00,127.0678788,37.53268581,내과
A1123067,"서울특별시 양천구 중앙로 232, 2,3,4층 (신정동)",의원,F,점심시간 13:00~14:00,"토요일 (2,4주)10:00-14:30 (1,3주)10:00-1600/",신정네거리역 4번출구,키즈온의원,02-6952-7503,02-3468-3060,10:00~18:00,10:00~13:00,11:00~15:00,10:00~17:00,126.8544402,37.51733427,내과
A1101174,"서울특별시 중랑구 동일로 932, 211호 (묵동)",의원,F,점심시간 13:00~14:00,"토요일 (2,4주)10:00-14:30 (1,3주)10:00-1600/",자이프라자 202동 211호 (묵동 자이 이마트 2층),키즈웰소아청소년과의원,02-972-7975,02-3468-3060,09:00~19:00,09:00~14:00,11:00~15:00,10:00~17:00,127.0775781,37.6134213,내과
A1119095,"서울특별시 강남구 압구정로34길 11, 압구정스퀘어 201호 (신사동)",의원,F,점심시간 13:00~14:00,소아전문치과/고등학생까지 가능/,"2호선 잠실나루역 1,2번출구 파크리오상가 A동 504호/",키즈힐소아청소년과의원,02-518-2240,02-3468-3060,09:00~18:30,09:00~14:00,11:00~15:00,10:00~17:00,127.0309753,37.52737814,내과
A1101071,"서울특별시 중구 다산로 168, 나동 3층 (신당동, 성원빌딩)",의원,F,점심시간 13:00~14:00,소아전문치과/고등학생까지 가능/,청구역 3번출구/청구초등학교 옆 롯데리아 건물 3층,킨더웰소아청소년과의원,02-2232-7757,02-3468-3060,09:00~18:00,09:00~13:00,11:00~15:00,10:00~17:00,127.0130023,37.55846711,내과
A1105800,서울특별시 강서구 양천로 690 (염창동),의원,F,점심시간 13:00~14:00,소아전문치과/고등학생까지 가능/,청구역 3번출구/청구초등학교 옆 롯데리아 건물 3층,킴스미의원,02-3663-8975,02-3468-3060,09:00~18:30,09:00~13:30,11:00~15:00,10:00~17:00,126.8726997,37.55021641,피부과
A1119976,"서울특별시 관악구 관악로 268, 1층 (봉천동)",의원,F,점심시간 13:00~14:00,소아전문치과/고등학생까지 가능/,관악브라운스톤아파트 맞은편,킴스아산의원,02-883-7282,02-3468-3060,09:00~18:00,09:00~13:00,11:00~15:00,10:00~17:00,126.9582766,37.48792523,가정의학과
A1100581,"서울특별시 강남구 논현로 820, 5층 (신사동, 제이씨빌딩 5층일부(A))",의원,F,일요일 정기휴무,"미용성형.드레싱.봉합.표피낭종.이수열,지방종,귀켈로이드,피부레이져,",강남을지병원앞교차로 인근,큐티의원,02-517-5888,02-3468-3060,10:00~19:00,10:00~16:00,09:00~16:00,09:00~16:00,127.0285204,37.52159072,피부과
A1105811,"서울특별시 송파구 오금로 518, 2~6층 (거여동)",의원,F,점심시간 13:00~14:00,소아전문치과/고등학생까지 가능/,거여역 5번출구 제일빌딩,킴스의원,02-402-6555,02-3468-3060,08:30~19:30,08:30~14:00,11:00~15:00,10:00~17:00,127.1463204,37.49276239,가정의학과
A1106559,"서울특별시 영등포구 선유로 59, 402호 (문래동6가, 문래아카데미)",의원,F,점심시간 13:00~14:00,소아전문치과/고등학생까지 가능/,농협문래지점 4층,킴앤리소아청소년과이비인후과의원,02-2677-7575,02-3468-3060,09:00~18:30,09:00~15:00,11:00~15:00,10:00~17:00,126.889026,37.51928231,내과
A1107128,"서울특별시 영등포구 영중로 60, 6층 (영등포동5가, 유니온빌딩)",의원,F,첫주 토요일 휴진,"사전예약제/임플란트?보철과 진료시간 09:30~18:30(월,수,금), 09:30~20:30(화,목), 09:30~16:30(토)/",유니온빌딩 6층,타브로항외과의원,02-2632-7175,02-3468-3060,09:00~17:30,09:00~12:30,09:00~15:30,10:00~17:00,126.9053305,37.5214481,가정의학과
A1103231,"서울특별시 도봉구 도봉로 813, 2층 (도봉동)",의원,F,점심시간 13:00~14:00,"사전예약제/임플란트?보철과 진료시간 09:30~18:30(월,수,금), 09:30~20:30(화,목), 09:30~16:30(토)/",1호선 도봉역 2번출구 부근,타운내과의원,02-954-7038,02-3468-3060,09:00~17:40,09:00~13:00,09:00~15:30,10:00~17:00,127.0445542,37.67708237,내과
A1100952,"서울특별시 종로구 종로 120, 5층 (종로3가)",의원,F,점심시간 13:00~14:00,"사전예약제/임플란트?보철과 진료시간 09:30~18:30(월,수,금), 09:30~20:30(화,목), 09:30~16:30(토)/",1호선 종로3가역 15번출구,타워비뇨기과의원,02-2277-6699,02-3468-3060,09:00~18:00,09:00~14:30,09:00~15:30,10:00~17:00,126.9911032,37.57008276,내과
A1103982,"서울특별시 강남구 남부순환로 2912 (대치동, 207,208,211호)",의원,F,점심시간 13:00~14:00,"사전예약제/임플란트?보철과 진료시간 09:30~18:30(월,수,금), 09:30~20:30(화,목), 09:30~16:30(토)/",도곡역 3번 출구/그랑프리앤빌딩 207호,타워비뇨기과의원,02-562-6699,02-3468-3060,09:30~20:00,09:00~14:00,09:00~15:30,10:00~17:00,127.0561443,37.49070518,내과
A1119159,"서울특별시 마포구 양화로 178, 10층 (동교동, 목화빌딩)",의원,F,소아(나이제한X)/봉합/교정/턱관절/임플란트,점심시간 1~2시,홍대입구역 4번 8번 사이,플러스후의원,070-511-7217,02-3468-3060,11:00~20:00,11:00~19:00,10:30~15:00,12:00~18:00,126.925213,37.55750596,가정의학과
A1101163,"서울특별시 영등포구 여의대방로 375, 303,304호 (여의도동, 아일렉스타워)",의원,F,점심시간 13:00~14:00,"사전예약제/임플란트?보철과 진료시간 09:30~18:30(월,수,금), 09:30~20:30(화,목), 09:30~16:30(토)/",도곡역 3번 출구/그랑프리앤빌딩 207호,타워비뇨기과의원,02-786-6633,02-3468-3060,09:30~18:30,09:30~14:00,09:00~15:30,10:00~17:00,126.9307762,37.5188997,내과
A1102232,"서울특별시 강남구 테헤란로87길 13, 서영빌딩 201호 (삼성동)",의원,F,7월 15일~7월 20일 휴진(여름휴가),정성을 다하는 코지이비인후과입니다. 가족처럼 진료하겠습니다.,서영빌딩 201호,코헨의원,02-568-2580,02-3468-3060,10:00~19:00,10:00~16:00,10:00~17:00,10:00~17:00,127.0586199,37.50862891,피부과
A1101115,"서울특별시 광진구 강변역로4길 10, 304,305,306호 (구의동, 강변역지너스타워 )",의원,F,월요일 야간진료는 예약제입니다,"사전예약제/임플란트?보철과 진료시간 09:30~18:30(월,수,금), 09:30~20:30(화,목), 09:30~16:30(토)/",강변역 4번 출구 지너스타워 3층,타워비뇨기과의원,02-456-6646,02-3468-3060,09:30~20:30,09:30~16:00,09:00~15:30,10:00~17:00,127.0934063,37.53534976,내과
A1122769,"서울특별시 서초구 강남대로 381, 303(일부)호 (서초동, 두산베어스텔)",의원,F,목요일 휴진,"사전예약제/임플란트?보철과 진료시간 09:30~18:30(월,수,금), 09:30~20:30(화,목), 09:30~16:30(토)/",보원빌딩 6층,타이니스트의원,02-582-8004,02-3468-3060,11:00~21:00,10:00~18:00,10:00~18:00,10:00~17:00,127.0276939,37.49668534,가정의학과
A1122818,"서울특별시 서초구 서초중앙로 130, 3층 (서초동)",의원,F,목요일 휴진,"사전예약제/임플란트?보철과 진료시간 09:30~18:30(월,수,금), 09:30~20:30(화,목), 09:30~16:30(토)/",보원빌딩 6층,타임리스피부과의원,02-587-6883,02-3468-3060,10:00~20:00,09:30~15:30,10:00~18:00,10:00~17:00,127.014095,37.49326212,피부과
A1117384,"서울특별시 마포구 신촌로 270, 7층 (아현동, 수창빌딩)",의원,F,목요일 휴진,"사전예약제/임플란트?보철과 진료시간 09:30~18:30(월,수,금), 09:30~20:30(화,목), 09:30~16:30(토)/",아현역 4번 출구,타임리스피부과의원,02-365-0077,02-3468-3060,10:00~20:30,09:30~15:00,10:00~18:00,10:00~17:00,126.955712,37.5571213,피부과
A1121656,"서울특별시 강동구 고덕로 385, 고덕그라시움아파트(상가4동) 4층 401~407호 (고덕동)",의원,F,점심시간 13:00~14:00,"사전예약제/임플란트?보철과 진료시간 09:30~18:30(월,수,금), 09:30~20:30(화,목), 09:30~16:30(토)/",아현역 4번 출구,타임리스피부과의원,02-441-7008,02-3468-3060,09:30~20:00,09:00~14:30,10:00~18:00,10:00~17:00,127.1684288,37.55736627,피부과
A1120069,"서울특별시 강남구 남부순환로 2806, 군인공제회관,2층 (도곡동)",의원,F,점심시간 13:00~14:00,"사전예약제/임플란트?보철과 진료시간 09:30~18:30(월,수,금), 09:30~20:30(화,목), 09:30~16:30(토)/",아현역 4번 출구,타임리스피부과의원,02-2135-7960,02-3468-3060,10:00~20:00,09:30~15:30,10:00~18:00,10:00~17:00,127.0529137,37.48911008,피부과
A1101350,서울특별시 노원구 동일로 1059 (공릉동),의원,F,점심식사 시간: 12:30~13:30 저녁식사 시간: 18:00~18:30,정성을 다하는 코지이비인후과입니다. 가족처럼 진료하겠습니다.,7호선공릉역3번출구에서 20m거리,퀸스메디산부인과의원,02-948-7588,02-3468-3060,09:00~20:00,09:00~16:00,10:00~13:00,10:00~13:00,127.0729873,37.62453008,내과
A1101173,"서울특별시 강남구 강남대로 624, 2층 (신사동, ICT타워)",의원,F,점심시간 13:00~14:00,"사전예약제/임플란트?보철과 진료시간 09:30~18:30(월,수,금), 09:30~20:30(화,목), 09:30~16:30(토)/",신사역 6번 출구 ICT타워 2층,타토아의원,02-542-0222,02-3468-3060,10:00~20:00,10:00~15:00,09:00~18:00,09:30~18:30,127.0195102,37.51747316,피부과
A1119140,서울특별시 도봉구 도봉로 927 (도봉동),의원,F,"2,4주 토요일 진료시간 10:00~14:00 / 점심시간 13:00~14:30","사전예약제/임플란트?보철과 진료시간 09:30~18:30(월,수,금), 09:30~20:30(화,목), 09:30~16:30(토)/",도봉산역 교차로 인근,탄탄의원,02-3492-5335,02-3468-3060,09:30~18:30,09:30~14:00,09:00~18:00,09:30~18:30,127.0455307,37.68716664,내과
A1102861,"서울특별시 강남구 도산대로57길 6, 지하1,지상2층 (청담동)",의원,F,점심시간 1시~2시,"사전예약제/임플란트?보철과 진료시간 09:30~18:30(월,수,금), 09:30~20:30(화,목), 09:30~16:30(토)/",맥도날드 건물,탐의원,02-3444-5975,02-3468-3060,10:00~19:00,10:00~16:00,09:00~18:00,09:30~18:30,127.0416311,37.52406936,가정의학과
A1104889,"서울특별시 강남구 압구정로 432, 3층 (청담동, 송재빌딩)",의원,F,점심시간 13:00~14:00,예약제진료로 확인전화필,압구정로데오역 3번출구 5분거리(SK주유스 인근),클린피부과의원,02-3445-9101,02-3468-3060,09:30~18:30,09:30~16:00,09:00~16:00,10:00~15:00,127.0441078,37.52662252,피부과
A1100287,"서울특별시 노원구 한글비석로 270, 스카이타워 4층 401,402호 (중계동)",의원,F,"매주 목요일 휴진이며, 주중 및 주말이 공휴일 경우 목요일  정상진료 합니다.","여드름,흉터,기미,색소, 안면홍조, 메디컬 스킨케어,보톡스,필러,리프팅, 아토피, 습진, 건선, 백반증, 두드러기, 사마귀, 피부종양",은행사거리 아웃백중계점 인근,탑메디피부과의원,02-932-0770,02-3468-3060,09:30~18:30,09:00~14:00,09:00~18:00,09:30~18:30,127.0777644,37.65189535,가정의학과
A1100992,"서울특별시 강동구 천호대로 1015, 10층 (천호동)",의원,F,"매주 목요일 휴진이며, 주중 및 주말이 공휴일 경우 목요일  정상진료 합니다.","전립선비대증, 요실금 배뇨장애와 요로결석을 진료하고 검사하는 의원입니다. 약물 치료와 수술적인 치료가 가능합니다.",5호선 천호역 5번출구 성보빌딩 10층,탑비뇨기과의원,02-478-0100,02-3468-3060,09:30~18:30,09:30~14:00,09:00~18:00,09:30~18:30,127.1251141,37.5385055,피부과
A1104571,"서울특별시 구로구 경인로40길 34, 4층 (개봉동)",의원,F,"매주 목요일 휴진이며, 주중 및 주말이 공휴일 경우 목요일  정상진료 합니다.","전립선비대증, 요실금 배뇨장애와 요로결석을 진료하고 검사하는 의원입니다. 약물 치료와 수술적인 치료가 가능합니다.",5호선 천호역 5번출구 성보빌딩 10층,탑비뇨기과의원,02-2687-9575,02-3468-3060,09:30~18:30,09:30~13:30,09:00~18:00,09:30~18:30,126.8588892,37.4954525,피부과
A1103636,"서울특별시 강서구 양천로 73, 멤브로메디컬센터 3층 301-1호 (방화동)",의원,F,1주 토요일 휴진/마지막주 수요일 오전진료(09:0012:30)만 시행/점심시간 12:30~14:00,"전립선비대증, 요실금 배뇨장애와 요로결석을 진료하고 검사하는 의원입니다. 약물 치료와 수술적인 치료가 가능합니다.",방화사거리,탑연합의원,02-2664-9955,02-3468-3060,09:00~18:30,09:00~13:00,09:00~18:00,09:30~18:30,126.8118283,37.57372375,가정의학과
A1120061,"서울특별시 영등포구 영신로19길 23, 반석빌딩 3층 302호 (영등포동)",의원,F,점심시간: 1시~2시,"전립선비대증, 요실금 배뇨장애와 요로결석을 진료하고 검사하는 의원입니다. 약물 치료와 수술적인 치료가 가능합니다.",방화사거리,탑이비인후과의원,02-833-6689,02-3468-3060,09:00~19:00,09:00~16:00,09:00~18:00,09:00~13:00,126.9054219,37.51355539,내과
A1106418,서울특별시 양천구 공항대로 558 (목동),의원,F,점심시간 13:00~14:00,"전립선비대증, 요실금 배뇨장애와 요로결석을 진료하고 검사하는 의원입니다. 약물 치료와 수술적인 치료가 가능합니다.",등촌역 4번출구,탑이비인후과의원,02-2061-2100,02-3468-3060,09:00~19:00,09:00~13:00,09:00~18:00,09:00~13:00,126.867408,37.54928135,내과
A1118934,"서울특별시 강남구 도산대로 104, 13층 (논현동, 1st Avenue)",의원,F,소아(협조가능)/봉합/보철/임플란트,소아(9세이상)/ 봉합/ 교정/ 턱관절/,신사역 2번 출구,핑크라인의원,02-3444-7171,02-3468-3060,10:00~21:00,10:00~17:00,13:00~18:00,09:30~21:00,127.0203424,37.51607827,피부과
A1115183,"서울특별시 성북구 보문로 120, (보문동1가)",의원,F,점심시간 13:00~14:00,점심13~14시,보문역 3번 출구,킴스서울외과의원,02-922-6061,02-3468-3060,10:00~18:00,10:00~13:00,11:00~15:00,10:00~17:00,127.0194148,37.5857292,가정의학과
A1105557,서울특별시 중랑구 동일로 805 (중화동),의원,F,예약제운영하므로 방문전 전화확인필요합니다.,"전립선비대증, 요실금 배뇨장애와 요로결석을 진료하고 검사하는 의원입니다. 약물 치료와 수술적인 치료가 가능합니다.",7호선 중화역 3번 출구,태능성모의원,02-492-4628,02-3468-3060,09:30~18:30,09:30~14:00,10:00~14:00,09:30~13:00,127.0790309,37.60227898,내과
A1123264,"서울특별시 노원구 동일로 987, 지하1층, 2층 일부 (공릉동)",의원,F,예약제운영하므로 방문전 전화확인필요합니다.,"전립선비대증, 요실금 배뇨장애와 요로결석을 진료하고 검사하는 의원입니다. 약물 치료와 수술적인 치료가 가능합니다.",7호선 중화역 3번 출구,태능성심의원,02-973-7835,02-3468-3060,08:30~17:00,08:30~12:30,10:00~14:00,09:30~13:00,127.0749411,37.6182542,가정의학과
A1106688,서울특별시 노원구 동일로 987 (공릉동),의원,F,예약제운영하므로 방문전 전화확인필요합니다.,"전립선비대증, 요실금 배뇨장애와 요로결석을 진료하고 검사하는 의원입니다. 약물 치료와 수술적인 치료가 가능합니다.",태릉입구역 2번출구 바로 앞,태능성심정신건강의학과의원,02-979-5757,02-3468-3060,10:00~18:00,10:00~13:00,10:00~14:00,09:30~13:00,127.0750731,37.6183026,내과
A1100480,서울특별시 중랑구 동일로 770 (중화동),의원,F,예약제운영하므로 방문전 전화확인필요합니다.,"전립선비대증, 요실금 배뇨장애와 요로결석을 진료하고 검사하는 의원입니다. 약물 치료와 수술적인 치료가 가능합니다.",중화역 2번 출구,태능제일의원,02-433-5432,02-3468-3060,08:30~18:30,08:30~14:00,10:00~14:00,08:00~14:00,127.0802416,37.59922921,내과
A1118936,"서울특별시 노원구 동일로 1005, 3,4층 (공릉동, 대정빌딩)",의원,F,점심시간 13:00~14:00,"전립선비대증, 요실금 배뇨장애와 요로결석을 진료하고 검사하는 의원입니다. 약물 치료와 수술적인 치료가 가능합니다.",태릉입구역 3번 출구,태릉밝은안과의원,02-977-8275,02-3468-3060,09:30~18:30,09:30~16:00,10:00~14:00,08:00~14:00,127.0745142,37.61992689,안과
A1116877,"서울특별시 노원구 동일로 1003, 3층 (공릉동)",의원,F,점심시간 13:00~14:00,"전립선비대증, 요실금 배뇨장애와 요로결석을 진료하고 검사하는 의원입니다. 약물 치료와 수술적인 치료가 가능합니다.","태릉입구역 3번 출구, 서울공릉초등학교 인근",태릉본비뇨기과의원,02-960-8108,02-3468-3060,10:00~18:00,10:00~14:00,10:00~14:00,08:00~14:00,127.0746454,37.61970696,내과
A1123633,"서울특별시 노원구 동일로 1005, 대정빌딩 5,6층 (공릉동)",의원,F,점심시간 12:30-13;30,"전립선비대증, 요실금 배뇨장애와 요로결석을 진료하고 검사하는 의원입니다. 약물 치료와 수술적인 치료가 가능합니다.","태릉입구역 3번 출구, 서울공릉초등학교 인근",태릉정원내과의원,02-979-0333,02-3468-3060,08:00~18:00,08:00~13:00,10:00~14:00,08:00~14:00,127.0745144,37.6199277,내과
A1103567,"서울특별시 노원구 동일로 1547, 2,4층 (상계동, 동남빌딩)",의원,F,점심시간 13:00~14:00,"전립선비대증, 요실금 배뇨장애와 요로결석을 진료하고 검사하는 의원입니다. 약물 치료와 수술적인 치료가 가능합니다.",마들역 8번출구 우리은행건물,태안과의원,02-939-7733,02-3468-3060,09:00~18:00,09:00~13:00,10:00~14:00,08:00~14:00,127.0569339,37.6665572,안과
A1118810,"서울특별시 구로구 새말로 83, 2층 (구로동)",의원,F,점심시간 13:00~14:00,"전립선비대증, 요실금 배뇨장애와 요로결석을 진료하고 검사하는 의원입니다. 약물 치료와 수술적인 치료가 가능합니다.",무학여고 사거리 던킨도넛츠 4층.,태영성모의원,02-858-7661,02-3468-3060,10:00~16:00,10:00~13:00,10:00~14:00,09:00~18:00,126.8890695,37.50522309,내과
A1102596,"서울특별시 강남구 학동로 215, 씨엘타워 3층  301,302,305호 (논현동)",의원,F,점심시간 13:00~14:00,영상의학과 검사위주,무학여고 사거리 던킨도넛츠 4층.,태원영상의학과의원,02-562-3116,02-3468-3060,09:00~18:00,09:00~14:00,09:00~17:00,09:00~17:00,127.0325682,37.51487477,가정의학과
A1103456,"서울특별시 성북구 북악산로 845 , 상가203동 4층 (정릉동, 정릉쌍용아파트)",의원,F,점심시간 12:30~14:00,"토요일 (2,4주)10:00-14:30 (1,3주)10:00-1600/",정릉쌍용아파트상가,키즈쑥쑥소아청소년과의원,02-909-0100,02-3468-3060,09:00~17:30,08:30~13:30,11:00~15:00,10:00~17:00,127.0182724,37.59930193,내과
